query,keyword,volume,cpc,value
iphone,1 iphone 4,10,0.57,5.7
iphone,10 foot iphone 5 charger cable,10,0.56,5.6
iphone,$50 iphone 4,10,0.56,5.6
iphone,10 foot iphone charger best buy,20,0.28,5.6
iphone,10ft iphone 5 charger cord,10,0.55,5.5
iphone,10 ft cable for iphone 5,10,0.54,5.4
iphone,10 foot iphone charger walmart,30,0.18,5.4
iphone,24 hour iphone support,30,0.18,5.4
iphone,10 deep iphone 6 case,10,0.53,5.3
iphone,1080p iphone projector,10,0.52,5.2
iphone,2 amp charger iphone,20,0.26,5.2
iphone,10 ft long iphone cable,10,0.5,5.0
iphone,12 south bookbook iphone 6 plus,20,0.25,5.0
iphone,220 volt adapter for iphone,10,0.49,4.9
iphone,12 volt charger for iphone 6,10,0.48,4.8
iphone,12 iphone,10,0.48,4.8
iphone,$1 iphone 5 cases,20,0.24,4.8
iphone,10 foot cord for iphone 5,10,0.47,4.7
iphone,2200mah iphone 5 battery case,10,0.46,4.6
iphone,12w charger iphone,10,0.46,4.6
iphone,100 free iphone,10,0.46,4.6
iphone,10 foot iphone charger cable,10,0.46,4.6
iphone,2 iphone 5s,10,0.45,4.5
iphone,1c iphone,10,0.45,4.5
iphone,10 foot iphone 5 chargers,10,0.45,4.5
iphone,15 foot iphone 4 charger,10,0.44,4.4
iphone,10 foot iphone chargers,10,0.43,4.3
iphone,10 foot iphone 5 cable,10,0.42,4.2
iphone,0$ down iphone 5,10,0.42,4.2
iphone,007 iphone 6 case,20,0.21,4.2
iphone,10 ft iphone 4 cable,10,0.4,4.0
iphone,2 sim card iphone,10,0.39,3.9
iphone,10ft iphone charger cord,10,0.39,3.9
iphone,24k gold iphone 5s price,10,0.38,3.8
iphone,10 inch iphone 5 charger,10,0.38,3.8
iphone,10 foot iphone charger cord,10,0.38,3.8
iphone,1000 iphone cases,10,0.36,3.6
iphone,2015 iphone 6 plus case,20,0.18,3.6
iphone,2nd hand iphone 5c,10,0.35,3.5
iphone,12w usb power adapter iphone 6,10,0.34,3.4
iphone,2008 bmw iphone 5 adapter,10,0.34,3.4
iphone,16gb gold iphone 5s,10,0.34,3.4
iphone,$80 iphone case,10,0.34,3.4
iphone,2 meter iphone 4 charger,10,0.33,3.3
iphone,10 ft iphone 5s charger,10,0.33,3.3
iphone,16 32 or 64gb iphone,10,0.32,3.2
iphone,12 south book book iphone 5,10,0.32,3.2
